 ,Area,Mean,Min,Max
1254,127,255,255,255
1255,144,255,255,255
1256,65,255,255,255
1257,65,255,255,255
1258,163,255,255,255
1259,69,255,255,255
1260,144,255,255,255
1261,221,255,255,255
1262,200,255,255,255
1263,72,255,255,255
1264,138,255,255,255
1265,93,255,255,255
1266,64,255,255,255
1267,63,255,255,255
1268,106,255,255,255
1269,79,255,255,255
1270,91,255,255,255
1271,53,255,255,255
1272,150,255,255,255
1273,100,255,255,255
1274,65,255,255,255
1275,75,255,255,255
1276,77,255,255,255
1277,152,255,255,255
1278,387,255,255,255
1279,120,255,255,255
1280,133,255,255,255
1281,98,255,255,255
1282,127,255,255,255
1283,54,255,255,255
1284,186,255,255,255
1285,100,255,255,255
1286,63,255,255,255
1287,131,255,255,255
1288,54,255,255,255
1289,55,255,255,255
1290,95,255,255,255
1291,92,255,255,255
1292,82,255,255,255
1293,135,255,255,255
1294,65,255,255,255
1295,53,255,255,255
1296,111,255,255,255
1297,84,255,255,255
1298,201,255,255,255
1299,52,255,255,255
1300,85,255,255,255
1301,54,255,255,255
1302,51,255,255,255
1303,74,255,255,255
1304,54,255,255,255
1305,138,255,255,255
1306,69,255,255,255
1307,109,255,255,255
1308,176,255,255,255
1309,54,255,255,255
1310,69,255,255,255
1311,87,255,255,255
1312,92,255,255,255
1313,66,255,255,255
1314,53,255,255,255
1315,58,255,255,255
1316,69,255,255,255
1317,53,255,255,255
1318,96,255,255,255
1319,74,255,255,255
1320,116,255,255,255
1321,73,255,255,255
1322,101,255,255,255
1323,64,255,255,255
1324,74,255,255,255
1325,87,255,255,255
1326,62,255,255,255
1327,273,255,255,255
1328,162,255,255,255
1329,70,255,255,255
1330,71,255,255,255
1331,77,255,255,255
1332,104,255,255,255
1333,57,255,255,255
1334,87,255,255,255
1335,221,255,255,255
1336,61,255,255,255
1337,114,255,255,255
1338,101,255,255,255
1339,72,255,255,255
1340,73,255,255,255
1341,71,255,255,255
1342,68,255,255,255
1343,88,255,255,255
1344,117,255,255,255
1345,95,255,255,255
1346,94,255,255,255
1347,88,255,255,255
1348,57,255,255,255
1349,141,255,255,255
1350,64,255,255,255
1351,82,255,255,255
1352,54,255,255,255
1353,239,255,255,255
1354,378,255,255,255
1355,51,255,255,255
1356,268,255,255,255
